index,prompt,prompt_cont,gen0,['It is many farms crowding the area'],"[', which all produce milk and pork.']","[', and the farmers are not happy.']"
1,['Her father kept bringing her various medical treatments'],"["" and ain't nothing done ever worked.""]","[', but she was always too weak to']"
2,['The president'],[' gon run.'],[' of the United']
3,['tin foil hat for the s'],"['arg, what size u wear?']",['ultry summer air.\n\n']
4,['The toaster Tom done bought'],"["" from him ain't work.""]",[' a new one.\n\n']
5,['Where is it a very active tradition of hunting'],[' of small to medium-sized wild game?'],['?\n\nI am not sure if I']
6,"[""a rarity among recent iranian films : it's a comedy""]",[' full of gentle humor chide the absurdity of its protagonist  plight.'],"["", but it's not a comedy.\n\nThe film is a""]"
7,['Bill very'],[' compassionate.'],[' much.']
8,['It is additional reporting'],[' standards for financial audits.'],"[' that the\n\n""']"
9,"[""the film ain't only love no song to the movies but it also more fully an example""]","[' of the kind of lush, all-enveloping movie experience it rhapsodize']","["" of the film's style and the way it was made.\n\nThe film is a""]"
10,['Either an Analysis cover a lot'],[' of cases or a very rigorous analysis'],"[' of ground, but it’']"
11,['Girl stand in subway'],[' waiting on something.'],"[' station, wearing a']"
12,"['At her subsequent trial, the case against Tulisa collapsed at Southwark Crown Court in July 2014, with the judge commenting that dey was ""']","['strong grounds"" to believe that Mahmood done lied at a pre-trial hearing and tried to manipulate evidence against the co-defendant Tulisa.']","['not a person of good character"".\n\nIn November 2015, Tulisa was sentenced to a total of five years in prison for the murder of her']"
13,['The father carried the sleeping'],[' boy in the father arms.'],[' child to the back of the']
14,['CCC say ten substantive changes done been'],[' made would affect recordkeeping requirements.'],[' made to the bill.\n\n']
15,['People was killed in'],[' a collision between ships.'],"[' the attack, and the']"
16,['Is dey any pharmaceutical entrepreneurs can explain their'],"["" business' briefly and how they get there?""]",[' business model?\n\nI am a pharm']
17,['How brave I know'],[' a boy is!'],"[' you are, but']"
