0,3 stars,0.4845
1,5 stars,0.4256
2,3 stars,0.4855
3,4 stars,0.4285
4,2 stars,0.288
5,4 stars,0.3962
6,5 stars,0.7515
7,3 stars,0.3705
8,1 star,0.3846
9,5 stars,0.3551
10,3 stars,0.3802
11,3 stars,0.4715
12,5 stars,0.4255
13,5 stars,0.4861
14,4 stars,0.2837
15,4 stars,0.3394
16,5 stars,0.611
17,5 stars,0.5965
18,1 star,0.5674
19,5 stars,0.6178
20,1 star,0.3458
21,4 stars,0.2937
22,3 stars,0.2679
23,1 star,0.632
24,5 stars,0.3716
25,1 star,0.3265
26,4 stars,0.4751
27,1 star,0.3721
28,4 stars,0.2603
29,2 stars,0.432
30,1 star,0.2824
31,4 stars,0.2849
32,2 stars,0.3675
33,2 stars,0.5055
34,3 stars,0.3185
35,1 star,0.6266
36,1 star,0.2756
37,4 stars,0.3893
38,4 stars,0.3347
39,5 stars,0.4626
40,1 star,0.2372
41,5 stars,0.4806
42,4 stars,0.3542
43,5 stars,0.4297
44,1 star,0.2861
45,3 stars,0.2967
46,5 stars,0.5745
47,2 stars,0.2791
48,1 star,0.2702
49,2 stars,0.3708
50,5 stars,0.4527
51,3 stars,0.3427
52,3 stars,0.3726
53,1 star,0.33
54,4 stars,0.2568
55,2 stars,0.4164
56,4 stars,0.3289
57,4 stars,0.2562
58,4 stars,0.2517
59,5 stars,0.7467
60,2 stars,0.2621
61,3 stars,0.2785
62,5 stars,0.6259
63,3 stars,0.395
64,4 stars,0.3954
65,2 stars,0.258
66,2 stars,0.3944
67,4 stars,0.2238
68,3 stars,0.3511
69,3 stars,0.4618
70,3 stars,0.2645
71,3 stars,0.3003
72,5 stars,0.3072
73,5 stars,0.4391
74,4 stars,0.3849
75,4 stars,0.3203
76,2 stars,0.2753
77,1 star,0.4005
78,3 stars,0.3969
79,1 star,0.4597
80,5 stars,0.2613
81,5 stars,0.4778
82,4 stars,0.39
83,4 stars,0.3911
84,3 stars,0.3478
85,1 star,0.3274
86,3 stars,0.3121
87,1 star,0.4255
88,1 star,0.5469
89,1 star,0.2781
90,3 stars,0.2528
91,4 stars,0.5831
92,1 star,0.3913
93,5 stars,0.3423
94,3 stars,0.241
95,2 stars,0.3601
96,5 stars,0.2398
97,5 stars,0.2695
98,4 stars,0.4091
99,5 stars,0.4721
100,1 star,0.4325
101,1 star,0.4061
102,2 stars,0.2555
103,3 stars,0.302
104,1 star,0.23
105,5 stars,0.4128
106,5 stars,0.4106
107,3 stars,0.2836
108,3 stars,0.3269
