index,prompt,prompt_cont,gen0,['There are many farms crowding the area'],"[', which all produce milk and pork.']","[', but since we are still in the']"
1,['Her father kept bringing her various medical'],[' treatments and nothing had ever worked.'],[' books he had in his bookshe']
2,['The president'],[' will run.'],[' isn’']
3,['tin foil hat for the sarg'],"[', what size do u wear?']",['asso.\n\n<|endoftext|>']
4,['The toaster Tom had bought'],"["" from him didn't work.""]",[' for the boys was a toy']
5,['Where is there a very active tradition of hunting'],[' of small to medium-sized wild game?'],"['/killing of wolves in this country, or']"
6,"[""a rarity among recent iranian films : it's a comedy full""]","["" of gentle humor that chides the absurdity of its protagonist's plight.""]","[' of humor, not at all the usual slapstick. the most important characters']"
7,['Bill is'],[' very compassionate.'],[' a regular on']
8,['There are additional reporting'],[' standards for financial audits.'],[' requirements for the application and']
9,['the film is not only a love song to the movies but it also is more fully an example'],"[' of the kind of lush, all-enveloping movie experience it rhapsodizes ']","[' of the cinematic technique of montage, with its repetitive montage of similar images. In an']"
10,['Either an Analysis that covers a lot'],[' of cases or a very rigorous analysis'],"[' of the same ground, and/']"
11,['Girl stands in subway'],[' waiting on something.'],[' tracks and waits to']
12,"['At her subsequent trial, the case against Tulisa collapsed at Southwark Crown Court in July 2014, with the judge commenting that there were ""strong']","[' grounds"" to believe that Mahmood had lied at a pre-trial hearing and tried to manipulate evidence against the co-defendant Tulisa.']","[' echoes"" of her case against Dr. James Wilson in the case against James. In spite of this, the Crown Attorney argued that ""the similarities']"
13,['The father carried the sleeping boy'],"["" in the father's arms.""]","['. ""Take this. It']"
14,['CCC says ten substantive changes have been'],[' made that would affect recordkeeping requirements.'],[' made to the original design of it as']
15,['People were killed in'],[' a collision between ships.'],"[' police shootings, and those']"
16,['Are there any pharmaceutical entrepreneurs who can explain their'],"["" business' briefly and how did they get there?""]",[' work to me in detail?\n\nThere are']
17,['How brave I know'],[' a boy who is!'],[' Mr. Pankhurst']
18,"['Asphalt/bitumen is used to make Japan black, a lacquer known especially for its use on iron and steel, and it is also used in paint and marker inks by some graffiti supply companies to increase']","[' the weather resistance and permanence of the paint or ink, and to make the color much darker.[citation needed] Asphalt/bitumen is also used to seal some alkaline batteries during the manufacturing process.']","[' its resistance to oil and water.\n\nFor many years, it has been used mainly as an industrial paint, more recently for its use as a water repellent and an oil repellent.\n\n']"
19,['a slam-bang extravaganza that is all about a wild'],"['-and-woolly, wall-to-wall good time. ']",[' and twisted woman’s struggle to regain her independence that continues throughout the']
20,['you have to give the audience a'],[' reason to want to put for that effort'],[' certain amount of time to figure\nit']
21,"[""woody allen's latest is an ambling, broad comedy about""]",[' all there is to love -- and hate -- about the movie biz. '],[' his first meeting with a woman from the future (Rachel McAdams) with the']
22,['There was a plan that we would visit'],[' Glasgow today but the weather is terrible.'],[' some new places on our American tour.']
23,"[""Ablright's Jewish cousin is""]",[' a 21 year old man named George.'],[' also Jewish. As\nmuch as we']
24,['How many inches of rain does'],[' central Nigeria get each year?'],[' it take just to water the']
25,"[""it's not""]",[' scary in the slightest'],[' going anywhere for another']
26,"['The table was piled high with food, and on the floor beside it there']","[' were crocks, baskets, and a five-quart pail of milk.']","[' was a long table with glasses and bottles piled on that.""\n\nLunch']"
27,"[""There's a hole in the tarp""]",['aulin which that stone is holding down.'],[' over the trailer that is covered by a sheet']
28,['Does Donald Trump actually care'],[' about the United States?'],[' what happens to Ukraine?']
29,['Why is stressed out the only popular twenty one pilots song? They'],"[' have many other beautiful, why is stressed out the only one?']","["" are the greatest because you've got to listen to to know how""]"
30,['Will image quality be worse if'],[' my lense has more glass?'],[' I use a wider band width?']
31,['In the unlikely event that the Electoral College throws'],"[' the vote, how soon will we know?']","[' the White House into the balance, President Calvin']"
32,"[""It's likely that Tom will win,""]","["" but it's not clear which race.""]",[' with plenty of votes for his opponent being']
33,['World sends emergency'],[' relief to battered Philippines'],[' troops to protect the']
34,['How will I improve'],[' my spoken English?'],[' my business ideas –']
35,['But metaphysical implications seem to have interested him less than enforcing a moral example to'],"[' unite his far-flung subjects in peace and fellowship, under him.']","[' other writers (Gott), and also giving them the chance to get published']"
36,['What effects will trade sanctions imposed on and by'],[' Russia have on the U.S. economy?'],[' China have on the US? It certainly has a']
37,['What NFL teams have won'],[' the most Super Bowl rings?'],[' the most games by the most']
38,"['The conventional therapy is counseling or medication, but now there is a new tool,']","[' one that puts the soldiers through the trauma again, only this time in virtual reality.']",[' that can help control and cure the inflammation as well as helping in the process of wound']
39,['How does the process in which Japanese grow'],[' watermelon differ from the process Koreans use?'],['ers apply hybrid\ncultivation to the Japanese']
