idx,prompt,prompt_cont,gen0,There are many farms crowding the area,", which all produce milk and pork.",'s flat landscape and the land is a
1,Her father kept bringing her various medical treatments, and ain't nothing done ever worked., and pills that she wasn't supposed to
3,tin foil hat for the s,"arg, what size u wear?",ambar. The top of the
4,The toaster Tom done bought, from him ain't work., his wife a Tom Denn
5,Where is it a very active tradition of hunting, of small to medium-sized wild game?, for the spiritual and physical needs of your group
6,a rarity among recent iranian films : it's a comedy, full of gentle humor that chides the absurdity of its protagonist plight," with comedy.

Ajourfait ait b"
9,The film is not only a love song to the movies but it also is more fully an," example of the kind of lush, all-enveloping movie experience it rhapsodizes"," homage to the movies, which includes many references to the films, including the characters (like Tom"
10,Either an Analysis that covers a lot, of cases or a very rigorous analysis," of new territory, or an Analysis"
12,": At her subsequent trial, the case against Tulisa collapsed at Southwark Crown Court in July 2014, with the judge commenting that there were ""","strong grounds"" to believe that Mahmood done lied at a pre-trial hearing and tried to manipulate evidence against the co-defendant Tulisa.","no physical traces of violence"" and ""there is no evidence of any threat to harm her life or anyone else"". It was reported on the same day"
13,The father carried the sleeping, boy in his arms.," child, and I wondered"
14,CCC say ten substantive changes had been, made that would affect record keeping requirements.," made.

However, some of"
16,"Asphalt/bitumen is used to make Japan black, a lacquer known especially for its use on iron and steel, and it is also used in paint and marker ink by some graffiti supply companies to increase"," the weather resistance and permanence of the paint or ink, and to make the color much darker.[citation needed] Asphalt/bitumen is also used to seal some alkaline batteries during the manufacturing process."," the adhesion of the mark on the surface. However, asphalt/bitumen is not good for a clear adhesion in applications where a small adhesion will not cause any damage to the surface, such as in"
17,a slam-bang extravaganza is all about a wild,"-and-woolly, wall-to-wall good time.", ride in a tricked-up old Ford Van convertible. This is my
18,you gotta give the audience a reason, to want to put forth that effort, to want to spend the time that
19,It was a plan that we would visit, Glasgow today but the weathers terrible., many of the great places that we had
20,Ablright Jewish cousin a, 21 year old man named George.," close ally, so a close friend"
21,How many inches of rain, central Nigeria get each year?, were falling last night? A
23,"The table was piled high with food, and on the floor beside it it"," was crocks, baskets, and a five-quart pail of milk.", had been laid out a long line of small pieces of animal fat in the shape
24,There's a hole in the tarp,aulin which that stone is holding down.,","" Mr. Macleod replied.
"
26,Why is stressed out the only popular twenty one pilots song? They," got many other beautiful, why is stressed out the only one?"," all have a similar line, and that line is the reason this"
27,Will image quality be worse if, my lense got more glass?, high definition prints are not sent over
28,In the unlikely event the Electoral College throws," the vote, how soon will we know?"," a wrench into the election results, Trump will"
29,"It's likely that Tom gon win,", but itain't clear which race.," Tom might get hurt

Lack"
32,What effects gon trade sanctions imposed on and by, Russia have on the U.S. economy?, certain nations’ in countries such as Iran will
33,What NFL teams done won, the most Super Bowl rings?, the Super Bowl? Who won
34,"The conventional therapy is counseling or medication, but now there is a new tool,"," one that puts the soldiers through the trauma again, only this time in virtual reality."," such as the electro-immunotherapy, for immunocompromised patients."
35,How does the process in which Japanese grow, watermelon differ from the process Koreans use?," potatoes sound like? To begin with, you"
36,This theory captures that arrows, don't stop in midair, are used to navigate through an
38,A tan dog licked a, girls hand while laying down., baby rabbit in a pool of
39,What basic difference is it between the, teams of Barcelona and Real Madrid?, two? I don't see any
40,Who released a guideline that recommends that, people follow a whole plant food diet?, women who have experienced sexual harassment or abuse
43,It prove that John was, lying that he left town., a little ahead of himself with
44,"this a shameless sham, calculated to cash", in on the popularity of its stars.," in on this election, and
what"
45,"Can I abscond from work, I been working in a company for"," only 2 months, and I think I ain't a perfect fit here?"," 13 years? I am employed at ""company B"" I always get a"
46,you got no remains of an, A- at the pentagon., old civilization. I shall be glad
47,"In the United Kingdom, BBC Radio 5 Live", and 5 Live Sports Extra gon carry the contest.,", now called BBC Radio 4 Extra, was first"
48,The Islington police said they started receiving phone, calls only minutes after the objects started appearing., calls in 2012 after someone found some “
50,What the most interesting products and innovations Bank, of America is coming out with in 2016?, of America’s Merrill Lynch is developing
51,"We got no idea about a time between roughly 300,000 and 1"," billion years after the Big Bang, when the universe was very hazy.",",000 years ago."" ""No idea?"" ""The cave paintings on Chau"
52,It ain't until the 1930s that the, Supreme Court held a delegation of authority unconstitutional., notion of a female role in society began in
53,The company gon offer songs for 99 cents, and albums for $9.95., a song and then charge more for a
54,Who done tried self hypnosis,? And how it work?,"?"" ""I don't even"
55,Google search for Travel WODs gotta, whole lots of results which you can use," be the WOD

Travel is"
57,"The other, al-Azhar, acquire this status in name and essence only in the course of numerous reforms during the 19th and 20","th century, notably the one of 1961 which introduced non-religious subjects to its curriculum, such as economics, engineering, medicine, and agriculture.",th centuries. The number of members of the Muslim Brotherhood in all of Egypt remains the same and as well as the number of adherents to political Islam
59,Is it sure that I will get my class, 12 improvement admit card delivered to my address?," back home?

My father's name"
60,I don't believe it was any, iceberg at all anywhere near the Titanic.," other girl in this room.""

"
61,Financial firms now offer internally focused, products that improve business success., trading platforms which allows users to
62,"Frank may done told Chet,"," and Joe may have, too."," ""Just like you always tell me"
64,Most columnists claim that a senior, White House official been briefing them., White House official made a big mistake
65,to convince the audience that these br,ats gon ever be anything more than losers,ides are all fake but that you can
68,got a shambling charm... a, cheerfully inconsequential diversion., little of her father's fire as
69,Whats some topics you just cant ignore, while preparing for iit jee?,"...

Tuesday, January 29,"
70,About half of all U.S,. households got money in mutual funds.,. adults have had a doctor's office
72,"They also presented Jesus –  ""As it is written in the law of the Lord, Every male"," openeth the womb shall be called holy to the Lord"" (Luke 2:23other verses)."," among you shall be as a woman, and of that woman’s seed all nations shall call"
73,Dropbox Mobile use mobile data? Is it, any setting so that it sync only on WiFi?," good or bad? How safe?

We"
74,It was a fine selection, of Goethe writing., of women. And he
75,"the chateau belong to rudd, whose portrait of a therapy-dependent", flakeball spouting french malapropisms... a nonstop hoot., young girl is a portrait of me)” “a real-life portrait
77,If checks aren't written to Indiana University," Foundation, there's gonna be an issue."," Health, the hospital will not give the money"
78,"While local cab drivers had compliments, not everyone appreciated the", company. The Brewers had lost their game the following day," attention. One customer called it a ""cheap trick"
79,During the 1950s deyre was a citywide festival called, Fiesta del Pacifico highlighting the areas of Spanish and Mexican past," The Festival of Deyre, held every four years in January"
80,Prime Minister Allawi gon return to Iraq, in time for the country national conference., to fight terror while he was abroad after
81,It's more difficult to find a job in a city I don't live in than a," city I do live in, even if I'm willing to pay my own relocation costs?"," job where I choose to live in a ""city of friends."" I was born in New"
82,Latin and Euro-American rhythms, both present in discos., in the works of W.
84,There's been much puzzlement among, critics about what the election symbolize.," viewers, myself included, about the name"
85,"""With Leukemia"" is a website bringing parents together world",-wide to share experiences on caring for children who have leukemia.,-wide to discover information on their disease - including the latest research
86,at the state scientific center of applied microbiology there is every kind of deadly bacteria that,was studied for use in the secret biological weapons program of the soviet union., can be picked up even in the smallest possible amount. Some are just the sort of
87,"In the early Olympic games, athletes used to run a mile and then recite a poem. The first poet-in-residence of an English football team, Ian McMillan, remarked that football chants are like huge tribal poems. Generally, though, sport and poetry done never seemed natural companions in human enterprise. Until the New York Mets baseball team suffered in 2007"," arguably the worst collapse in Major League Baseball history. To describe the anguish fans felt, The New York Times turned to a poet, Frank Messina. ""wasn't nothing really representing the fan point of view,"" Messina told Wikinews reporter David Shankbone in an interview. ""it's a lot of hurting people out there can't express what happened.""",". Then they played in the World Series for the first time since 1945. After being up a year, with the team down nine games to five to Boston, the Mets were down two games to one in the series and were forced to settle for a third-place finish. But the Mets were still the best team in MLB (and second best in baseball history),"
88,My meeting started at 4:00 and I needed to catch the train at 4:30,", so there wasn't much time. Luckily, it was delayed, so it worked out.",. The train from London has a great platform and beautiful views onto a pretty garden. I�
89,From what I'm seeing it's generally accepted that most English, speakers got a vocabulary size of 15000 to 20000 words., speakers use their own dialect and grammar. But for the non-
91,Blair sorry for anyone done, lost their lives in Iraq.," it

I've thought"
92,The college coaches got the most responsibility to decide," which players got a problem, not the NCAA"," what football is.

But if you"
93,"There is a total of 12,800 Buddha statues here, plus", the remains of the monastery founder embalmed in gold leaf., three other statues scattered about the whole area. This is quite extraordinary
94,and EDS is very particular about this hair cuts i mean it was like you can,'t have you know such and such facial hair no beards you know and just really detailed, only do it if you really have the power you are able to manipulate that hair to look
