index,prompt,prompt_cont,gen0,['There are many farms crowding the area'],"[', which all produce milk and pork.']","[', and the farmers are getting ready for']"
1,['Her father kept bringing her various medical'],[' treatments and nothing had ever worked.'],[' books and pamphlets.\n\n']
2,['The president'],[' will run.'],[' of the United']
3,['tin foil hat for the sarg'],"[', what size do u wear?']","['asso (a fish stew), and']"
4,['The toaster Tom had bought'],"["" from him didn't work.""]","[' was about to go up,']"
5,['Where is there a very active tradition of hunting'],[' of small to medium-sized wild game?'],[' and fishing in the area?\n\nI']
6,"[""a rarity among recent iranian films : it's a comedy full""]","["" of gentle humor that chides the absurdity of its protagonist's plight.""]","[' of humour and surprises, the most important of which is the way in which']"
7,['Bill is'],[' very compassionate.'],[' a little bit']
8,['There are additional reporting'],[' standards for financial audits.'],[' requirements based on the number']
9,['the film is not only a love song to the movies but it also is more fully an example'],"[' of the kind of lush, all-enveloping movie experience it rhapsodizes ']",[' of what a film can aspire to do - a film that is not only a love song to']
10,['Either an Analysis that covers a lot'],[' of cases or a very rigorous analysis'],"[' of ground, or a nice,']"
11,['Girl stands in subway'],[' waiting on something.'],[' station and sings an']
12,"['At her subsequent trial, the case against Tulisa collapsed at Southwark Crown Court in July 2014, with the judge commenting that there were ""strong']","[' grounds"" to believe that Mahmood had lied at a pre-trial hearing and tried to manipulate evidence against the co-defendant Tulisa.']","[' indications that the woman in the witness box [was] not a reliable witness.""\n\nIn his sentencing, Judge John Heaphy said:']"
13,['The father carried the sleeping boy'],"["" in the father's arms.""]","[', his arms and legs out']"
14,['CCC says ten substantive changes have been'],[' made that would affect recordkeeping requirements.'],"[' made to its existing rules, including:']"
15,['People were killed in'],[' a collision between ships.'],[' the attack.\n\n']
16,['Are there any pharmaceutical entrepreneurs who can explain their'],"["" business' briefly and how did they get there?""]",[' products to me?\n\nA:\n\n']
17,['How brave I know'],[' a boy who is!'],[' I am. But what']
18,"['Asphalt/bitumen is used to make Japan black, a lacquer known especially for its use on iron and steel, and it is also used in paint and marker inks by some graffiti supply companies to increase']","[' the weather resistance and permanence of the paint or ink, and to make the color much darker.[citation needed] Asphalt/bitumen is also used to seal some alkaline batteries during the manufacturing process.']","[' the density of the ink. It is used in some paints to reduce the yellowing effect of the paint, and in black, it is used to make the ink blacker. The best quality is used for markers']"
19,['a slam-bang extravaganza that is all about a wild'],"['-and-woolly, wall-to-wall good time. ']","['-eyed,\ndancing, mischievous man with a big mouth']"
20,['you have to give the audience a'],[' reason to want to put for that effort'],[' reason to care about you. The audience']
21,"[""woody allen's latest is an ambling, broad comedy about""]",[' all there is to love -- and hate -- about the movie biz. '],[' the absurdities of the modern world.\n\nThe film stars Tom Wilkinson as']
22,['There was a plan that we would visit'],[' Glasgow today but the weather is terrible.'],[' the local zoo. The zoo was a']
23,"[""Ablright's Jewish cousin is""]",[' a 21 year old man named George.'],[' from Israel. They both are the same']
24,['How many inches of rain does'],[' central Nigeria get each year?'],[' a typical house receive?\n']
25,"[""it's not""]",[' scary in the slightest'],[' an option.\n']
26,"['The table was piled high with food, and on the floor beside it there']","[' were crocks, baskets, and a five-quart pail of milk.']","[' was a long row of chairs, a long row of wooden chairs, a row']"
27,"[""There's a hole in the tarp""]",['aulin which that stone is holding down.'],['aulin around the well. When will we']
28,['Does Donald Trump actually care'],[' about the United States?'],[' about the American people?']
29,['Why is stressed out the only popular twenty one pilots song? They'],"[' have many other beautiful, why is stressed out the only one?']","[""'re not really singing about flying and their lives. They're singing""]"
