index,prompt,prompt_cont,gen0,['It is many farms crowding the area'],"[', which all produce milk and pork.']",[' that surrounds the city of Gavle']
1,['Her father kept bringing her various medical treatments'],"["" and ain't nothing done ever worked.""]",['. He even taught her how to open']
2,['The president'],[' gon run.'],[' of the United']
3,['tin foil hat for the s'],"['arg, what size u wear?']","['inner, and the young woman from']"
4,['The toaster Tom done bought'],"["" from him ain't work.""]",[' a brand new one the other']
5,['Where is it a very active tradition of hunting'],[' of small to medium-sized wild game?'],['?\n\nNot in the United States.']
6,"[""a rarity among recent iranian films : it's a comedy""]",[' full of gentle humor chide the absurdity of its protagonist  plight.'],"["" with a tragic theme, and it's not a comedy with a""]"
7,['Bill very'],[' compassionate.'],[' much.']
8,['It is additional reporting'],[' standards for financial audits.'],[' required for the submission of']
9,"[""the film ain't only love no song to the movies but it also more fully an example""]","[' of the kind of lush, all-enveloping movie experience it rhapsodize']","["" of how the genre can be reinvented\n\nI'm going to start this review off""]"
10,['Either an Analysis cover a lot'],[' of cases or a very rigorous analysis'],"[' of ground, but this is certainly']"
11,['Girl stand in subway'],[' waiting on something.'],"[', waiting for a']"
12,"['At her subsequent trial, the case against Tulisa collapsed at Southwark Crown Court in July 2014, with the judge commenting that dey was ""']","['strong grounds"" to believe that Mahmood done lied at a pre-trial hearing and tried to manipulate evidence against the co-defendant Tulisa.']","['not in control of her actions"".\n\nIn the words of Tulisa\'s father, ""she [dey] can\'t control her actions and']"
13,['The father carried the sleeping'],[' boy in the father arms.'],[' baby in his arms and walked']
14,['CCC say ten substantive changes done been'],[' made would affect recordkeeping requirements.'],"[' implemented this week, including the repeal']"
15,['People was killed in'],[' a collision between ships.'],[' the explosion. We were']
16,['Is dey any pharmaceutical entrepreneurs can explain their'],"["" business' briefly and how they get there?""]",[' medicine?\n\nA:\n\nI']
17,['How brave I know'],[' a boy is!'],"[' you be, my']"
18,"['Asphalt/bitumen is used to make Japan black, a lacquer known especially for its use on iron and steel, and it is also used in paint and marker ink by some graffiti supply companies to increase']","[' the weather resistance and permanence of the paint or ink, and to make the color much darker.[citation needed] Asphalt/bitumen is also used to seal some alkaline batteries during the manufacturing process.']","[' their visibility and to hide graffiti artists.\n\nIn Japan, the use of black is an important part of the traditional Japanese lifestyle, with many common folk practices including wearing black clothing, eating black foods and drinking black']"
19,['a slam-bang extravaganza is all about a wild'],"['-and-woolly, wall-to-wall good time.']","[' ride of a romance, with a bit of danger thrown in for good']"
20,['you gotta give the audience a reason'],[' to want to put for that effort'],"[' to leave,"" said the producer.']"
21,"['woody allen  latest an ambling, broad comedy about all']",[' dey is to love -- and hate -- about the movie biz.'],[' the people who are in a position to influence the future of the nation.']
22,['It was a plan that we would'],[' visit Glasgow today but the weather terrible.'],[' have to create a new one. We']
23,['Ablright Jewish cousin a'],[' 21 year old man named George.'],[' couple of times removed. Jewish cousin']
24,['How many inches of rain'],[' central Nigeria get each year?'],[' have you been getting in the']
25,"[""it ain't""]",[' scary in the slightest'],[' my fault you went']
26,"['The table was piled high with food, and on the floor beside it it']","[' was crocks, baskets, and a five-quart pail of milk.']","[' was littered with scraps of paper.\n\n""We\'ll have to be quick']"
27,"[""Dey's a hole in the tarp""]",['aulin which that stone is holding down.'],['. I should have bought one to put over']
28,['Donald Trump actually care'],[' about the United States?'],"[' about his supporters, at']"
29,['Why is stressed out the only popular twenty one pilots song? They'],"[' got many other beautiful, why is stressed out the only one?']",[' are trying to get famous so they can get money and fame.']
30,['Will image quality be worse if'],[' my lense got more glass?'],[' you buy a product from a Chinese']
31,['In the unlikely event the Electoral College throw'],"[' the vote, how soon gon we know?']","[' its weight behind Clinton and Trump, it�']"
32,"[""It's likely that Tom gon win,""]","["" but itain't clear which race.""]","["" but there's no way he wins with""]"
33,['World send emergency'],[' relief to battered Philippines'],[' responders to meet mass']
34,['How gon I improve'],[' my spoken English?'],[' my skills with a']
35,['But metaphysical implications seem to done interested him less than enforcing a moral example to'],"[' unite his far-flung subjects in peace and fellowship, under him.']","[' others. The more interesting question, then, is whether the same kind of']"
36,['What effects gon trade sanctions imposed on and by'],[' Russia have on the U.S. economy?'],[' North Korean communist regime have on people of North Korea']
37,['What NFL teams done won'],[' the most Super Bowl rings?'],[' a Super Bowl?\n\n']
38,"['The conventional therapy counseling or medication, but now it is a new tool,']","[' one put the soldiers through the trauma again, only this time in virtual reality.']",[' drug therapy will be a new treatment.\n\nIt will be a drug therapy']
39,['How the process in which Japanese grow water'],['melon differ from the process Koreans use?'],[' into a drink is making a big difference']
40,['This theory capture that arrows don'],"[""'t stop in no midair""]","['\'t have a ""right to']"
41,['John as tall as'],[' that man is.'],[' he ever was.']
42,['A tan dog lick a'],[' girls hand while laying down.'],[' small amount of the\nskin']
43,['What basic difference is it between the'],[' teams of Barcelona and Real Madrid?'],[' two?\n\nA:\n']
44,['Who released a guideline recommend that people'],[' follow a whole plant food diet?'],[' with HIV/AIDS use condoms for']
45,"['Many early immigrant groups travelled to America to worship freely, particularly']",[' after the English Civil War and religious conflict in France and Germany.'],"[' the Cherokee, as evidenced by numerous writings of their early contact,']"
46,['What the best trading'],[' platform for beginners?'],[' platform for beginners to']
47,['Reform allow'],[' home schooling.'],['-out\n']
48,['It prove that John was'],[' lying that he left town.'],[' the only one who knew.']
49,['Why people ask questions on Quora'],[' can easily be answered by Google?'],['\n\nA:\n\nQu']
50,"['this a shameless sham, calculated to cash']",[' in on the popularity of its stars.'],"[' in on the fears of the world,']"
51,"['Can I abscond from work, I been working in a company for']","["" only 2 months, and I think I ain't a perfect fit here?""]","[' 6 months, I got an offer from another company, but they said they']"
52,['you got no remains of an'],[' A- at the pentagon.'],[' old lady. Then just get right']
53,['The Mongol Empire was one of the most ethnically and'],"[' culturally diverse empires in history, as befitting its size.']","[' religiously diverse empires in the history of China, and it had']"
54,"['In the United Kingdom, BBC Radio 5 Live']",[' and 5 Live Sports Extra gon carry the contest.'],[' has been broadcasting since 1922. It is the oldest']
