0,POSITIVE,0.9627
1,NEGATIVE,0.9994
2,NEGATIVE,0.9903
3,NEGATIVE,0.9817
4,NEGATIVE,0.9766
5,POSITIVE,0.954
6,NEGATIVE,0.9882
7,POSITIVE,0.9948
8,POSITIVE,0.9984
9,NEGATIVE,0.9447
10,NEGATIVE,0.9866
11,NEGATIVE,0.9979
12,NEGATIVE,0.9988
13,POSITIVE,0.9999
14,POSITIVE,0.9973
15,POSITIVE,0.9654
16,POSITIVE,0.8411
17,NEGATIVE,0.868
18,NEGATIVE,0.9895
19,NEGATIVE,0.9994
20,NEGATIVE,0.998
21,NEGATIVE,0.9798
22,NEGATIVE,0.9793
23,POSITIVE,0.9996
24,NEGATIVE,0.9915
25,NEGATIVE,0.9989
26,NEGATIVE,0.9994
27,NEGATIVE,0.9998
28,POSITIVE,0.9998
29,NEGATIVE,0.9959
30,NEGATIVE,0.7188
31,NEGATIVE,0.9979
32,NEGATIVE,0.9935
33,POSITIVE,0.996
34,POSITIVE,0.9957
35,NEGATIVE,0.9897
36,POSITIVE,0.9951
37,NEGATIVE,0.9993
38,NEGATIVE,0.9984
39,NEGATIVE,0.9993
40,NEGATIVE,0.9994
41,NEGATIVE,0.9337
42,POSITIVE,0.9707
43,NEGATIVE,0.9591
44,NEGATIVE,0.9901
45,POSITIVE,0.9989
46,NEGATIVE,0.9944
47,NEGATIVE,0.9995
48,NEGATIVE,0.9887
49,NEGATIVE,0.9993
50,POSITIVE,0.9949
51,POSITIVE,0.9995
52,NEGATIVE,0.9993
53,NEGATIVE,0.8051
54,NEGATIVE,0.9992
55,POSITIVE,0.7471
56,POSITIVE,0.9551
57,NEGATIVE,0.998
58,POSITIVE,0.991
59,NEGATIVE,0.9984
60,NEGATIVE,0.9905
61,POSITIVE,0.9998
62,POSITIVE,0.9738
63,POSITIVE,0.997
64,NEGATIVE,0.8533
65,POSITIVE,0.9852
66,POSITIVE,0.9988
67,NEGATIVE,0.6821
68,POSITIVE,0.9453
