0,NEGATIVE,0.9769
1,POSITIVE,0.9318
2,NEGATIVE,0.5197
3,POSITIVE,0.9999
4,NEGATIVE,0.9882
5,POSITIVE,0.9851
6,POSITIVE,0.9998
7,NEGATIVE,0.9737
8,NEGATIVE,0.9939
9,POSITIVE,0.9986
10,POSITIVE,0.9864
11,NEGATIVE,0.9975
12,POSITIVE,0.9982
13,POSITIVE,0.9963
14,POSITIVE,0.9971
15,POSITIVE,0.6776
16,NEGATIVE,0.9424
17,POSITIVE,0.9543
18,POSITIVE,0.7049
19,NEGATIVE,0.9972
20,POSITIVE,0.966
21,NEGATIVE,0.8588
22,POSITIVE,0.9997
23,POSITIVE,0.9925
24,NEGATIVE,0.884
25,POSITIVE,0.9285
26,POSITIVE,0.6947
27,POSITIVE,0.9978
28,POSITIVE,0.9897
29,POSITIVE,0.985
30,NEGATIVE,0.9149
31,POSITIVE,0.9981
32,POSITIVE,0.9105
33,NEGATIVE,0.9885
34,POSITIVE,0.922
35,POSITIVE,0.9687
36,POSITIVE,0.9925
37,POSITIVE,0.9998
38,NEGATIVE,0.7646
39,NEGATIVE,0.5852
40,NEGATIVE,0.9988
41,NEGATIVE,0.9847
42,POSITIVE,0.9998
43,NEGATIVE,0.9726
44,NEGATIVE,0.9039
45,POSITIVE,0.9389
46,POSITIVE,0.6132
47,POSITIVE,0.9964
48,NEGATIVE,0.9106
49,NEGATIVE,0.9967
50,POSITIVE,0.9818
51,POSITIVE,0.8702
52,NEGATIVE,0.8674
53,NEGATIVE,0.7901
54,NEGATIVE,0.9989
55,POSITIVE,0.9778
56,POSITIVE,0.9982
57,NEGATIVE,0.9733
58,POSITIVE,0.9624
59,POSITIVE,0.9952
60,NEGATIVE,0.9782
61,NEGATIVE,0.9116
62,POSITIVE,0.9351
63,NEGATIVE,0.9893
64,POSITIVE,0.9993
65,NEGATIVE,0.9913
66,NEGATIVE,0.7985
67,NEGATIVE,0.8133
68,NEGATIVE,0.9962
69,NEGATIVE,0.9998
70,NEGATIVE,0.9762
71,POSITIVE,0.9969
72,NEGATIVE,0.9966
73,NEGATIVE,0.9892
74,POSITIVE,0.9916
75,POSITIVE,0.7999
76,POSITIVE,0.998
77,NEGATIVE,0.9794
78,NEGATIVE,0.9794
79,POSITIVE,0.8909
80,NEGATIVE,0.9865
81,NEGATIVE,0.9971
82,NEGATIVE,0.9731
83,NEGATIVE,0.9668
84,NEGATIVE,0.9662
85,POSITIVE,0.9869
86,POSITIVE,0.9953
87,POSITIVE,0.8085
88,POSITIVE,0.8857
89,POSITIVE,0.8338
90,NEGATIVE,0.925
91,NEGATIVE,0.9646
92,NEGATIVE,0.7457
93,POSITIVE,0.9899
94,NEGATIVE,0.9944
95,POSITIVE,0.9242
96,NEGATIVE,0.9963
97,POSITIVE,0.9505
98,POSITIVE,0.9869
99,NEGATIVE,0.9979
100,NEGATIVE,0.9563
101,POSITIVE,0.9961
102,NEGATIVE,0.9987
103,NEGATIVE,0.9857
104,NEGATIVE,0.5173
105,POSITIVE,0.8405
106,POSITIVE,0.9999
107,POSITIVE,0.9916
108,POSITIVE,0.9987
109,POSITIVE,0.9951
110,NEGATIVE,0.9969
111,POSITIVE,0.9077
112,POSITIVE,0.9994
113,POSITIVE,0.9998
114,NEGATIVE,0.9961
115,POSITIVE,0.7973
116,POSITIVE,0.9969
117,POSITIVE,0.9986
118,NEGATIVE,0.9924
119,POSITIVE,0.5917
120,POSITIVE,0.9935
121,POSITIVE,0.6672
122,POSITIVE,0.9965
123,POSITIVE,0.8534
124,POSITIVE,0.6729
125,POSITIVE,0.9996
126,POSITIVE,0.9695
127,NEGATIVE,0.8455
128,NEGATIVE,0.9821
129,NEGATIVE,0.6344
130,POSITIVE,0.998
131,NEGATIVE,0.6419
132,POSITIVE,0.9989
133,NEGATIVE,0.9984
134,NEGATIVE,0.9335
135,NEGATIVE,0.9945
136,POSITIVE,0.6961
137,POSITIVE,0.9995
138,POSITIVE,0.9921
139,NEGATIVE,0.9989
140,POSITIVE,0.9964
141,POSITIVE,0.8694
142,NEGATIVE,0.9703
143,NEGATIVE,0.9974
144,POSITIVE,0.5561
145,POSITIVE,0.6822
146,NEGATIVE,0.9797
147,POSITIVE,0.9998
148,NEGATIVE,0.9611
149,NEGATIVE,0.9893
150,NEGATIVE,0.9885
151,NEGATIVE,0.9814
152,NEGATIVE,0.9415
153,NEGATIVE,0.9993
154,NEGATIVE,0.9887
155,NEGATIVE,0.9687
156,NEGATIVE,0.9969
157,POSITIVE,0.9891
158,NEGATIVE,0.9674
159,NEGATIVE,0.9979
160,NEGATIVE,0.9657
161,NEGATIVE,0.9834
162,NEGATIVE,0.9191
163,POSITIVE,0.9998
164,NEGATIVE,0.9949
165,NEGATIVE,0.7865
166,NEGATIVE,0.9868
167,POSITIVE,0.9974
168,NEGATIVE,0.9908
169,NEGATIVE,0.9852
170,POSITIVE,0.9984
171,NEGATIVE,0.9871
172,POSITIVE,0.989
173,POSITIVE,0.6583
174,NEGATIVE,0.9725
175,POSITIVE,0.8335
176,POSITIVE,0.996
177,POSITIVE,0.9998
178,NEGATIVE,0.9905
179,NEGATIVE,0.958
180,POSITIVE,0.9987
181,NEGATIVE,0.9332
182,NEGATIVE,0.9954
183,NEGATIVE,0.9993
184,NEGATIVE,0.9871
185,NEGATIVE,0.5019
186,POSITIVE,0.9777
187,POSITIVE,0.9926
188,NEGATIVE,0.9908
189,POSITIVE,0.5324
190,NEGATIVE,0.999
191,POSITIVE,0.9992
192,NEGATIVE,0.9589
193,NEGATIVE,0.9833
194,NEGATIVE,0.7088
195,POSITIVE,0.9952
196,POSITIVE,0.9575
197,POSITIVE,0.9905
198,NEGATIVE,0.8744
199,POSITIVE,0.9034
200,NEGATIVE,0.9955
201,NEGATIVE,0.9963
202,NEGATIVE,0.9929
203,NEGATIVE,0.9716
204,NEGATIVE,0.8065
205,NEGATIVE,0.9906
206,NEGATIVE,0.8946
207,NEGATIVE,0.7697
208,NEGATIVE,0.9947
209,NEGATIVE,0.5179
210,POSITIVE,0.9962
211,POSITIVE,0.9934
212,POSITIVE,0.9108
