idx,prompt,prompt_cont,gen0,There are many farms crowding the area,", which all produce milk and pork.",", but there are only two places you"
1,Her father kept bringing her various medical, treatments and nothing had ever worked., books. He was an old man
3,tin foil hat for the sarg,", what size do u wear?","ent.

On 7 August"
4,The toaster Tom had bought, from him didn't work., for his mother's birthday this
5,Where is there a very active tradition of hunting, of small to medium-sized wild game?," with dogs in the city of Rome?
"
6,a rarity among recent iranian films : it's a comedy full, of gentle humor that chides the absurdity of its protagonist's plight.," of heart (with a hint of melancholy), a very realistic film about the"
9,the film is not only a love song to the movies but it also is more fully an example," of the kind of lush, all-enveloping movie experience it rhapsodizes ", of the power of cinema to inspire and inspire us to continue to explore and grow as a society
10,Either an Analysis that covers a lot, of cases or a very rigorous analysis," of ground, or an extremely narrow"
12,"At her subsequent trial, the case against Tulisa collapsed at Southwark Crown Court in July 2014, with the judge commenting that there were ""strong"," grounds"" to believe that Mahmood had lied at a pre-trial hearing and tried to manipulate evidence against the co-defendant Tulisa."," reasons"" to believe ""that she was innocent"".

In 2015 she was granted a retrial on charges relating to her role as a volunteer"
13,The father carried the sleeping boy, in the father's arms., to the bedroom and laid him
14,CCC says ten substantive changes have been, made that would affect recordkeeping requirements.," made to the legislation, including replacing the"
16,"Asphalt/bitumen is used to make Japan black, a lacquer known especially for its use on iron and steel, and it is also used in paint and marker inks by some graffiti supply companies to increase"," the weather resistance and permanence of the paint or ink, and to make the color much darker.[citation needed] Asphalt/bitumen is also used to seal some alkaline batteries during the manufacturing process."," the thickness and smoothness of the surface. Bitumen is also used in a variety of applications in the oil and gas industry, in asphalt paving, in construction, and in the repair of pipelines and piping. Although"
17,a slam-bang extravaganza that is all about a wild,"-and-woolly, wall-to-wall good time. "," ride, all about a big, crazy, hot, wild ride. And"
18,you have to give the audience a, reason to want to put for that effort," reason to care about the show, and"
19,There was a plan that we would visit, Glasgow today but the weather is terrible.," the island of the Blue Mountains, and"
20,Ablright's Jewish cousin is, a 21 year old man named George.," in an interesting position.

"""
21,How many inches of rain does, central Nigeria get each year?, it take to make a difference
23,"The table was piled high with food, and on the floor beside it there"," were crocks, baskets, and a five-quart pail of milk."," was a pitcher of water and a plate of fried fish and chips.

"
24,There's a hole in the tarp,aulin which that stone is holding down.,"."" ""It's an oil can."" """
26,Why is stressed out the only popular twenty one pilots song? They," have many other beautiful, why is stressed out the only one?", all have some kind of a problem? It is the perfect song
27,Will image quality be worse if, my lense has more glass?, I take a picture of the sun
28,In the unlikely event that the Electoral College throws," the vote, how soon will we know?"," an election against the Senate, the winner will"
29,"It's likely that Tom will win,", but it's not clear which race., but I have to admit that I'm
32,What effects will trade sanctions imposed on and by, Russia have on the U.S. economy?," Syria have on the rest of the world?
"
33,What NFL teams have won, the most Super Bowl rings?, the Super Bowl with quarterbacks who
34,"The conventional therapy is counseling or medication, but now there is a new tool,"," one that puts the soldiers through the trauma again, only this time in virtual reality."," a new drug, which has been developed. The drug is called tadalafil"
35,How does the process in which Japanese grow, watermelon differ from the process Koreans use?, their own food differ from the American one?
36,This theory captures that arrows don,'t stop in midair.,'t travel in a straight line
38,A tan dog licks a, girls hand while laying down.," white dog."" ""He is"
39,What basic difference is there between the, teams of Barcelona and Real Madrid?," two?

A:
"
40,Who released a guideline that recommends that, people follow a whole plant food diet?, anyone using marijuana should get a prescription from
43,It proves that John was, lying that he left town., right and the whole thing really
44,"this is a shameless sham, calculated to cash", in on the popularity of its stars. , in on the fact that we have a problem
45,"Can I abscond from work, I have been working in a company"," for only 2 months, and I think I am not a perfect fit here?"," for a long time, if I abscond I will be sacked

"
46,you have no remains of an, A- at the pentagon.," old man, or
anybody"
47,"In the United Kingdom, BBC Radio 5 Live", and 5 Live Sports Extra will carry the contest.," has won the most times with the most programmes,"
