index,txt0,['Â© to be his']
1,[' this is what i will']
2,[' time.\n\nMy']
3,"[',"" Gentry said.']"
4,[' doing something so foolish as']
5,[' quality content on the blog']
6,"[' 3 steals, and 2']"
7,[' offense or defensiveness']
8,[' and my brain is already']
9,"['\n\nHe said,']"
10,[' girls are ugly and it']
11,"["", and you're not""]"
12,"[' they were, it caused']"
13,['!!! It almost feels like']
14,[' The audience looked shocked and']
15,"["". She's not a""]"
16,['. I?m just']
17,[' the last week. I']
18,"[""'re dead. The more""]"
19,[' what he heard in one']
20,[' afraid to bring\na']
21,"["" I feel like it's""]"
22,['\n\nIt is not']
23,['\nour loyalty right now']
24,[' as they are on the']
25,[' you. I don�']
26,"["" know what's happening.""]"
27,[' I guess my son might']
28,[' do have 2 awesome angels']
29,"[' familiar with, and the']"
30,[' who thought they had their']
31,['ive visited this place before']
32,[' picture of a dead body']
33,[' become popular throughout the States']
34,[' but isnt one of']
35,[' whole world understands where we']
36,[' ending when you are down']
37,['\nshould get someone more']
38,[' are ready for the transition']
39,"["" This isn't hard to""]"
40,[' it becomes very clear to']
41,['\ntransactions (I']
42,"[' the kids call me,']"
43,[' who is obviously in a']
44,"[' chapel should be unlocked,""']"
45,[' are \nstill going']
46,[' question. He spent most']
47,"[' up to the hype,']"
48,[' his Twitter rant.<|endoftext|>']
49,[' at me when I go']
50,[' way up it broke and']
51,['????!!”\n']
52,"[""'s a no-show""]"
53,[' does a guy need to']
54,['ian?s girlfriend?']
55,[' They would be at least']
56,[' was someone I actually wanted']
57,[' next?\n\nMonday']
58,[' of my son Joseph George']
59,[' now? Lol.\n']
60,['urs is quite normal.']
61,[' you watch the Smiley']
62,[' it in the house.']
63,[' He started rah r']
64,[' never learn.\n\n']
65,[' have such a great time']
66,[' to see as an enemy']
67,[' see the outside of the']
68,"[""'ve been one. The""]"
69,[' most grammarians have the']
70,[' gets quiet.\n\n\n']
71,[' as the song went from']
72,[' and so am running short']
73,[' has shown they all can']
74,"["" before we're gone.""]"
75,[' niggas got locked']
76,"[' out doing something else,']"
77,"[' that has, you never']"
78,['\n\nThey want to']
79,[' \nput down a']
80,"[' a real meal.""\n']"
81,['. (I don�']
82,"[' not home."" ""(S']"
83,[' in the forward area first']
84,[' I think it is a']
85,[' would never\nhave to']
86,[' and see if she can']
87,"["" back\n\nI'm""]"
88,['ive got to try them']
89,"[' free, my love.']"
90,[' my son with me…']
91,[' said to her mother:']
92,['  I would hope that']
93,['. Everything I get in']
94,[' then I started drinking a']
95,[' spoof of one of my']
96,[' would be\nI saw']
97,['\nthink through their approach']
98,"["" I'm not sure what""]"
99,[' win against the Wildcats of']
100,[' become so complicated? When']
101,[' see my great grandm']
102,['\n\nI’']
103,"[' coffee shop, trying to']"
104,['\ntonight.--C']
105,[' pretty sure it is not']
106,['.\n\nMy kids']
107,[' a minimum order and get']
108,[' \nthe food looks']
109,"[' about 30 minutes ago!""']"
110,[' through the rest of the']
111,[' to say I guess...']
112,[' i will be traveling by']
113,[' had left and I got']
114,"[' into a sexual situation,']"
115,[' even be having you on']
116,[' but I never got the']
117,[' \nas he was']
118,[' \nthrough problems just']
119,"["" but she doesn't know""]"
120,[' an ass crack in between']
121,['\xa0basketball game. ']
122,[' there and see if he']
123,['Ã¢â‚']
124,[' about the black cat.)']
125,[' member as an “']
126,['  \ncan certainly']
127,['vernacular and I will']
128,[' going to learn about that']
129,[' the looks and the experience']
130,"["" That's not bad.""]"
131,[' take much time to look']
132,[' of these.\nAnd']
133,['________ __.\n\n -']
134,['\n\nWe are afraid']
135,[' a slave any longer.']
136,['  \non it']
137,[' but they give it to']
138,[' do not.\n\n']
139,[' this bitch!\n\n']
140,"["" her.'\n\nBut""]"
141,"[""\n\nThat's what""]"
142,[' home the most cash at']
143,['\nget a different water']
144,"["" phone which means it's""]"
145,[' person and I feel really']
146,[' the first month which was']
147,"[' right"", I didn\'t']"
148,['\njust walks off to']
149,[' a very solid defender and']
150,[' going to be close at']
151,"[' fixed?""\n\n""']"
152,['\nher mouth:)']
153,[' husbands have been fighting off']
154,['xtra virginal']
155,[' said it was just a']
156,"[', she’s']"
157,[' you want to date black']
158,[' have the same problem with']
159,[' the most important thing.']
160,['\nall be in good']
161,[' your language? What does']
162,[' are getting a glimpse into']
163,[' taking one of the many']
164,[' of the stuff a bunch']
165,['like feet. For her']
166,"['."" ""Good-bye']"
167,"[' 15,000 and the']"
168,[' work with…\n\n']
169,[' quite as good as the']
170,['\nwhy I was so']
171,"[' be a young man,']"
172,"[' got you so high,']"
173,"[""\nhaven't really got""]"
174,[' hard to stay away from']
175,['\ndecent place.']
176,['iced tea on the beach']
177,[' a long weekend to ']
178,"[' recently, but I have']"
179,[' that I could apologize.']
180,['\n\nYou are currently']
181,[' for a good movie night']
182,"["". We're coming on""]"
183,[' the 12 tribes of Israel']
184,"['. In each column,']"
185,['\nthe middle of the']
186,[' in North America. Designed']
187,"['\ndo this, then']"
188,"[""'ll never come back is""]"
189,['\nhave a family?']
190,['\nI am coming.']
191,[' \neither either:']
192,"["" I've got to go""]"
193,"[' long. Also, my']"
194,['\nadvice about watching']
195,['icky and icky and']
196,"[' be a good bitch,']"
197,"['!""\n\nA week']"
198,[' my living room as I']
199,['.\n\nHow do']
200,"[""~~~. He's""]"
201,['!!!\n\nWe have']
202,"["" But it can't be""]"
203,"[', we may in like']"
204,"[' so many times, that']"
205,[' it for me at least']
206,"["" for...they didn't""]"
207,['\ntalk about the sex']
208,"[', right?"" And I']"
209,['coat is ruined since I']
210,"[' be pretty tempting, isn']"
211,[' \n  (aka']
212,[' the same way. We']
213,[' throat. My throat is']
214,[' one dog and one toy']
215,['_____ are way too cor']
216,[' My mom works at the']
217,"["" you think he'd turn""]"
218,[' you have me feeling?']
219,[' rest of the team needs']
220,['ive earned my way through']
221,[' to sleep on the floor']
222,[' that the Internet isn�']
223,"[' go one, I had']"
224,[' a knack for turning you']
225,"["" you don't have any""]"
226,"[' could stop yourself, just']"
227,[' a woman is not worth']
228,[' your shit is in the']
