0,POSITIVE,0.9987
1,POSITIVE,0.9905
2,POSITIVE,0.9797
3,NEGATIVE,0.9874
4,POSITIVE,0.9595
5,POSITIVE,0.9988
6,POSITIVE,0.9983
7,NEGATIVE,0.9928
8,NEGATIVE,0.9986
9,POSITIVE,0.9952
10,POSITIVE,0.9948
11,POSITIVE,0.9987
12,POSITIVE,0.998
13,POSITIVE,0.9957
14,POSITIVE,0.9939
15,POSITIVE,0.9988
16,NEGATIVE,0.9771
17,NEGATIVE,0.9994
18,NEGATIVE,0.999
19,NEGATIVE,0.8729
20,NEGATIVE,0.7761
21,NEGATIVE,0.98
22,NEGATIVE,0.9986
23,POSITIVE,0.9677
24,POSITIVE,0.9948
25,POSITIVE,0.9981
26,NEGATIVE,0.9958
27,POSITIVE,0.9768
28,NEGATIVE,0.996
29,NEGATIVE,0.9775
30,NEGATIVE,0.9987
31,POSITIVE,0.9894
32,POSITIVE,0.9744
33,POSITIVE,0.9988
34,POSITIVE,0.9892
35,POSITIVE,0.9963
36,NEGATIVE,0.9966
37,NEGATIVE,0.9971
38,POSITIVE,0.988
39,POSITIVE,0.996
40,POSITIVE,0.9904
41,NEGATIVE,0.9986
42,POSITIVE,0.9985
43,POSITIVE,0.9969
44,NEGATIVE,0.9876
45,POSITIVE,0.9987
46,POSITIVE,0.9175
47,NEGATIVE,0.9995
48,POSITIVE,0.9972
49,POSITIVE,0.992
50,NEGATIVE,0.9873
51,POSITIVE,0.9924
52,NEGATIVE,0.9932
53,NEGATIVE,0.9789
54,POSITIVE,0.9878
55,POSITIVE,0.9986
56,POSITIVE,0.9985
57,POSITIVE,0.9961
58,NEGATIVE,0.9987
59,POSITIVE,0.998
60,POSITIVE,0.988
61,POSITIVE,0.9907
62,POSITIVE,0.9944
63,POSITIVE,0.9802
64,POSITIVE,0.9985
65,NEGATIVE,0.9935
66,POSITIVE,0.9964
67,NEGATIVE,0.9994
68,NEGATIVE,0.9995
69,NEGATIVE,0.9994
70,POSITIVE,0.9983
71,POSITIVE,0.9788
72,NEGATIVE,0.9994
73,POSITIVE,0.9912
74,POSITIVE,0.9433
75,POSITIVE,0.9987
76,NEGATIVE,0.959
77,NEGATIVE,0.9995
78,POSITIVE,0.9944
79,NEGATIVE,0.9933
80,POSITIVE,0.9943
81,POSITIVE,0.9984
82,POSITIVE,0.9931
83,POSITIVE,0.9965
84,NEGATIVE,0.9915
85,NEGATIVE,0.9862
86,POSITIVE,0.9985
87,POSITIVE,0.9944
88,NEGATIVE,0.8368
89,NEGATIVE,0.9895
90,POSITIVE,0.9923
91,NEGATIVE,0.9939
92,POSITIVE,0.9952
93,POSITIVE,0.9905
94,POSITIVE,0.9731
95,POSITIVE,0.9937
96,POSITIVE,0.9964
97,POSITIVE,0.9939
98,POSITIVE,0.9931
99,NEGATIVE,0.9949
100,POSITIVE,0.9816
101,NEGATIVE,0.9873
102,POSITIVE,0.9885
103,POSITIVE,0.9948
104,NEGATIVE,0.9825
105,NEGATIVE,0.9945
106,POSITIVE,0.997
107,NEGATIVE,0.9912
108,POSITIVE,0.9929
109,POSITIVE,0.9828
110,POSITIVE,0.9962
111,POSITIVE,0.9984
112,NEGATIVE,0.992
113,POSITIVE,0.9947
114,POSITIVE,0.9963
115,NEGATIVE,0.9941
116,POSITIVE,0.9982
117,NEGATIVE,0.9982
118,NEGATIVE,0.9248
119,POSITIVE,0.9908
120,NEGATIVE,0.9992
121,POSITIVE,0.9937
122,POSITIVE,0.9938
123,NEGATIVE,0.9957
124,POSITIVE,0.9987
125,NEGATIVE,0.9959
126,NEGATIVE,0.9742
127,NEGATIVE,0.7682
128,POSITIVE,0.9989
129,NEGATIVE,0.9964
130,POSITIVE,0.9952
131,NEGATIVE,0.9976
132,NEGATIVE,0.9963
133,NEGATIVE,0.9805
134,POSITIVE,0.9958
135,NEGATIVE,0.9858
136,POSITIVE,0.9986
137,POSITIVE,0.9629
138,POSITIVE,0.9945
139,POSITIVE,0.958
140,NEGATIVE,0.9752
141,POSITIVE,0.9916
142,POSITIVE,0.9984
143,NEGATIVE,0.9974
144,NEGATIVE,0.9992
145,POSITIVE,0.9894
